Source,Target,Type,Kind,Id,Label,Weight
2,3,Undirected,rank-8,1,rank-8,5.0
2,4,Undirected,rank-8,2,rank-8,11.0
2,40,Undirected,rank-8,3,rank-8,6.0
2,52,Undirected,rank-8,4,rank-8,14.0
2,99,Undirected,rank-8,5,rank-8,2.0
2,100,Undirected,rank-8,6,rank-8,2.0
2,101,Undirected,rank-8,7,rank-8,3.0
2,177,Undirected,rank-8,8,rank-8,9.0
2,178,Undirected,rank-8,9,rank-8,9.0
2,181,Undirected,rank-8,10,rank-8,8.0
2,275,Undirected,rank-8,11,rank-8,1.0
2,276,Undirected,rank-8,12,rank-8,1.0
2,277,Undirected,rank-8,13,rank-8,1.0
2,278,Undirected,rank-8,14,rank-8,1.0
2,287,Undirected,rank-8,15,rank-8,3.0
2,294,Undirected,rank-8,16,rank-8,2.0
2,327,Undirected,rank-8,17,rank-8,2.0
2,328,Undirected,rank-8,18,rank-8,2.0
2,377,Undirected,rank-8,19,rank-8,1.0
2,378,Undirected,rank-8,20,rank-8,1.0
2,379,Undirected,rank-8,21,rank-8,1.0
2,382,Undirected,rank-8,22,rank-8,1.0
2,383,Undirected,rank-8,23,rank-8,1.0
2,384,Undirected,rank-8,24,rank-8,1.0
2,385,Undirected,rank-8,25,rank-8,1.0
2,386,Undirected,rank-8,26,rank-8,1.0
2,410,Undirected,rank-8,27,rank-8,6.0
2,469,Undirected,rank-8,28,rank-8,6.0
2,470,Undirected,rank-8,29,rank-8,8.0
2,471,Undirected,rank-8,30,rank-8,7.0
2,486,Undirected,rank-8,31,rank-8,1.0
2,487,Undirected,rank-8,32,rank-8,1.0
2,564,Undirected,rank-8,33,rank-8,10.0
2,588,Undirected,rank-8,34,rank-8,1.0
2,621,Undirected,rank-8,35,rank-8,1.0
2,622,Undirected,rank-8,36,rank-8,1.0
2,623,Undirected,rank-8,37,rank-8,1.0
2,624,Undirected,rank-8,38,rank-8,1.0
2,770,Undirected,rank-8,39,rank-8,3.0
2,811,Undirected,rank-8,40,rank-8,1.0
2,812,Undirected,rank-8,41,rank-8,1.0
2,821,Undirected,rank-8,42,rank-8,6.0
2,822,Undirected,rank-8,43,rank-8,2.0
2,823,Undirected,rank-8,44,rank-8,2.0
2,824,Undirected,rank-8,45,rank-8,6.0
3,4,Undirected,rank-8,46,rank-8,6.0
3,821,Undirected,rank-8,47,rank-8,7.0
3,822,Undirected,rank-8,48,rank-8,1.0
3,823,Undirected,rank-8,49,rank-8,2.0
3,824,Undirected,rank-8,50,rank-8,7.0
4,14,Undirected,rank-8,51,rank-8,1.0
4,16,Undirected,rank-8,52,rank-8,1.0
4,18,Undirected,rank-8,53,rank-8,1.0
4,40,Undirected,rank-8,54,rank-8,14.0
4,41,Undirected,rank-8,55,rank-8,5.0
4,42,Undirected,rank-8,56,rank-8,3.0
4,43,Undirected,rank-8,57,rank-8,6.0
4,50,Undirected,rank-8,58,rank-8,3.0
4,51,Undirected,rank-8,59,rank-8,2.0
4,52,Undirected,rank-8,60,rank-8,14.0
4,57,Undirected,rank-8,61,rank-8,2.0
4,58,Undirected,rank-8,62,rank-8,2.0
4,59,Undirected,rank-8,63,rank-8,2.0
4,60,Undirected,rank-8,64,rank-8,2.0
4,73,Undirected,rank-8,65,rank-8,4.0
4,74,Undirected,rank-8,66,rank-8,4.0
4,75,Undirected,rank-8,67,rank-8,1.0
4,76,Undirected,rank-8,68,rank-8,1.0
4,77,Undirected,rank-8,69,rank-8,8.0
4,78,Undirected,rank-8,70,rank-8,8.0
4,79,Undirected,rank-8,71,rank-8,5.0
4,87,Undirected,rank-8,72,rank-8,2.0
4,88,Undirected,rank-8,73,rank-8,1.0
4,120,Undirected,rank-8,74,rank-8,1.0
4,121,Undirected,rank-8,75,rank-8,1.0
4,129,Undirected,rank-8,76,rank-8,1.0
4,130,Undirected,rank-8,77,rank-8,1.0
4,131,Undirected,rank-8,78,rank-8,4.0
4,133,Undirected,rank-8,79,rank-8,1.0
4,134,Undirected,rank-8,80,rank-8,1.0
4,215,Undirected,rank-8,81,rank-8,1.0
4,216,Undirected,rank-8,82,rank-8,1.0
4,217,Undirected,rank-8,83,rank-8,2.0
4,323,Undirected,rank-8,84,rank-8,5.0
4,371,Undirected,rank-8,85,rank-8,3.0
4,409,Undirected,rank-8,86,rank-8,2.0
4,410,Undirected,rank-8,87,rank-8,8.0
4,446,Undirected,rank-8,88,rank-8,4.0
4,447,Undirected,rank-8,89,rank-8,3.0
4,467,Undirected,rank-8,90,rank-8,4.0
4,468,Undirected,rank-8,91,rank-8,3.0
4,522,Undirected,rank-8,92,rank-8,2.0
4,524,Undirected,rank-8,93,rank-8,4.0
4,539,Undirected,rank-8,94,rank-8,2.0
4,564,Undirected,rank-8,95,rank-8,6.0
4,802,Undirected,rank-8,96,rank-8,1.0
4,803,Undirected,rank-8,97,rank-8,1.0
4,821,Undirected,rank-8,98,rank-8,8.0
4,822,Undirected,rank-8,99,rank-8,1.0
4,823,Undirected,rank-8,100,rank-8,3.0
4,824,Undirected,rank-8,101,rank-8,8.0
4,854,Undirected,rank-8,102,rank-8,1.0
4,855,Undirected,rank-8,103,rank-8,1.0
4,920,Undirected,rank-8,104,rank-8,3.0
4,1033,Undirected,rank-8,105,rank-8,1.0
4,1034,Undirected,rank-8,106,rank-8,1.0
4,1085,Undirected,rank-8,107,rank-8,1.0
4,1086,Undirected,rank-8,108,rank-8,1.0
5,6,Undirected,rank-8,109,rank-8,1.0
5,7,Undirected,rank-8,110,rank-8,1.0
5,28,Undirected,rank-8,111,rank-8,1.0
5,29,Undirected,rank-8,112,rank-8,2.0
6,7,Undirected,rank-8,113,rank-8,1.0
6,28,Undirected,rank-8,114,rank-8,1.0
6,29,Undirected,rank-8,115,rank-8,1.0
7,28,Undirected,rank-8,116,rank-8,1.0
7,29,Undirected,rank-8,117,rank-8,1.0
10,11,Undirected,rank-8,118,rank-8,4.0
10,12,Undirected,rank-8,119,rank-8,5.0
10,44,Undirected,rank-8,120,rank-8,1.0
10,45,Undirected,rank-8,121,rank-8,1.0
10,177,Undirected,rank-8,122,rank-8,1.0
10,178,Undirected,rank-8,123,rank-8,1.0
10,179,Undirected,rank-8,124,rank-8,1.0
10,180,Undirected,rank-8,125,rank-8,1.0
10,181,Undirected,rank-8,126,rank-8,1.0
10,218,Undirected,rank-8,127,rank-8,4.0
10,219,Undirected,rank-8,128,rank-8,3.0
10,220,Undirected,rank-8,129,rank-8,1.0
10,221,Undirected,rank-8,130,rank-8,1.0
10,338,Undirected,rank-8,131,rank-8,1.0
10,375,Undirected,rank-8,132,rank-8,1.0
10,376,Undirected,rank-8,133,rank-8,1.0
10,414,Undirected,rank-8,134,rank-8,1.0
10,415,Undirected,rank-8,135,rank-8,1.0
10,700,Undirected,rank-8,136,rank-8,1.0
10,703,Undirected,rank-8,137,rank-8,1.0
10,714,Undirected,rank-8,138,rank-8,1.0
10,725,Undirected,rank-8,139,rank-8,1.0
11,12,Undirected,rank-8,140,rank-8,5.0
11,44,Undirected,rank-8,141,rank-8,1.0
11,45,Undirected,rank-8,142,rank-8,1.0
11,177,Undirected,rank-8,143,rank-8,1.0
11,178,Undirected,rank-8,144,rank-8,1.0
11,179,Undirected,rank-8,145,rank-8,1.0
11,180,Undirected,rank-8,146,rank-8,1.0
11,181,Undirected,rank-8,147,rank-8,1.0
11,218,Undirected,rank-8,148,rank-8,4.0
11,219,Undirected,rank-8,149,rank-8,3.0
11,220,Undirected,rank-8,150,rank-8,1.0
11,221,Undirected,rank-8,151,rank-8,1.0
11,338,Undirected,rank-8,152,rank-8,1.0
11,375,Undirected,rank-8,153,rank-8,1.0
11,376,Undirected,rank-8,154,rank-8,1.0
11,414,Undirected,rank-8,155,rank-8,1.0
11,415,Undirected,rank-8,156,rank-8,1.0
11,700,Undirected,rank-8,157,rank-8,1.0
11,703,Undirected,rank-8,158,rank-8,1.0
11,714,Undirected,rank-8,159,rank-8,1.0
11,725,Undirected,rank-8,160,rank-8,1.0
12,44,Undirected,rank-8,161,rank-8,1.0
12,45,Undirected,rank-8,162,rank-8,1.0
12,177,Undirected,rank-8,163,rank-8,1.0
12,178,Undirected,rank-8,164,rank-8,1.0
12,179,Undirected,rank-8,165,rank-8,1.0
12,180,Undirected,rank-8,166,rank-8,1.0
12,181,Undirected,rank-8,167,rank-8,1.0
12,218,Undirected,rank-8,168,rank-8,5.0
12,219,Undirected,rank-8,169,rank-8,4.0
12,220,Undirected,rank-8,170,rank-8,1.0
12,221,Undirected,rank-8,171,rank-8,1.0
12,338,Undirected,rank-8,172,rank-8,1.0
12,375,Undirected,rank-8,173,rank-8,1.0
12,376,Undirected,rank-8,174,rank-8,1.0
12,414,Undirected,rank-8,175,rank-8,1.0
12,415,Undirected,rank-8,176,rank-8,1.0
12,700,Undirected,rank-8,177,rank-8,1.0
12,703,Undirected,rank-8,178,rank-8,1.0
12,714,Undirected,rank-8,179,rank-8,1.0
12,725,Undirected,rank-8,180,rank-8,1.0
13,14,Undirected,rank-8,181,rank-8,1.0
13,17,Undirected,rank-8,182,rank-8,1.0
14,16,Undirected,rank-8,183,rank-8,1.0
14,17,Undirected,rank-8,184,rank-8,1.0
14,18,Undirected,rank-8,185,rank-8,1.0
16,18,Undirected,rank-8,186,rank-8,2.0
16,347,Undirected,rank-8,187,rank-8,5.0
16,348,Undirected,rank-8,188,rank-8,3.0
16,349,Undirected,rank-8,189,rank-8,2.0
16,350,Undirected,rank-8,190,rank-8,3.0
16,453,Undirected,rank-8,191,rank-8,2.0
16,454,Undirected,rank-8,192,rank-8,2.0
19,20,Undirected,rank-8,193,rank-8,1.0
19,218,Undirected,rank-8,194,rank-8,1.0
19,219,Undirected,rank-8,195,rank-8,1.0
19,220,Undirected,rank-8,196,rank-8,1.0
19,221,Undirected,rank-8,197,rank-8,1.0
20,218,Undirected,rank-8,198,rank-8,1.0
20,219,Undirected,rank-8,199,rank-8,1.0
20,220,Undirected,rank-8,200,rank-8,1.0
20,221,Undirected,rank-8,201,rank-8,1.0
20,762,Undirected,rank-8,202,rank-8,1.0
20,763,Undirected,rank-8,203,rank-8,1.0
23,24,Undirected,rank-8,204,rank-8,3.0
23,25,Undirected,rank-8,205,rank-8,2.0
23,40,Undirected,rank-8,206,rank-8,1.0
23,52,Undirected,rank-8,207,rank-8,1.0
23,78,Undirected,rank-8,208,rank-8,1.0
23,99,Undirected,rank-8,209,rank-8,3.0
23,100,Undirected,rank-8,210,rank-8,4.0
23,101,Undirected,rank-8,211,rank-8,3.0
23,213,Undirected,rank-8,212,rank-8,1.0
23,214,Undirected,rank-8,213,rank-8,1.0
23,308,Undirected,rank-8,214,rank-8,2.0
23,310,Undirected,rank-8,215,rank-8,1.0
23,311,Undirected,rank-8,216,rank-8,1.0
23,312,Undirected,rank-8,217,rank-8,3.0
23,313,Undirected,rank-8,218,rank-8,3.0
23,314,Undirected,rank-8,219,rank-8,2.0
23,315,Undirected,rank-8,220,rank-8,2.0
23,316,Undirected,rank-8,221,rank-8,2.0
23,317,Undirected,rank-8,222,rank-8,2.0
23,318,Undirected,rank-8,223,rank-8,2.0
23,391,Undirected,rank-8,224,rank-8,1.0
23,392,Undirected,rank-8,225,rank-8,1.0
23,409,Undirected,rank-8,226,rank-8,1.0
23,580,Undirected,rank-8,227,rank-8,2.0
23,680,Undirected,rank-8,228,rank-8,2.0
24,25,Undirected,rank-8,229,rank-8,3.0
24,40,Undirected,rank-8,230,rank-8,2.0
24,52,Undirected,rank-8,231,rank-8,1.0
24,78,Undirected,rank-8,232,rank-8,2.0
24,580,Undirected,rank-8,233,rank-8,2.0
24,680,Undirected,rank-8,234,rank-8,2.0
25,40,Undirected,rank-8,235,rank-8,3.0
25,52,Undirected,rank-8,236,rank-8,1.0
25,78,Undirected,rank-8,237,rank-8,2.0
25,580,Undirected,rank-8,238,rank-8,2.0
25,680,Undirected,rank-8,239,rank-8,2.0
26,27,Undirected,rank-8,240,rank-8,4.0
26,58,Undirected,rank-8,241,rank-8,4.0
26,86,Undirected,rank-8,242,rank-8,1.0
26,195,Undirected,rank-8,243,rank-8,1.0
26,249,Undirected,rank-8,244,rank-8,2.0
26,250,Undirected,rank-8,245,rank-8,2.0
26,498,Undirected,rank-8,246,rank-8,1.0
26,641,Undirected,rank-8,247,rank-8,1.0
26,649,Undirected,rank-8,248,rank-8,2.0
26,1021,Undirected,rank-8,249,rank-8,1.0
26,1098,Undirected,rank-8,250,rank-8,3.0
26,1099,Undirected,rank-8,251,rank-8,3.0
27,58,Undirected,rank-8,252,rank-8,2.0
27,86,Undirected,rank-8,253,rank-8,1.0
27,195,Undirected,rank-8,254,rank-8,1.0
27,249,Undirected,rank-8,255,rank-8,2.0
27,250,Undirected,rank-8,256,rank-8,2.0
27,1098,Undirected,rank-8,257,rank-8,2.0
27,1099,Undirected,rank-8,258,rank-8,2.0
28,29,Undirected,rank-8,259,rank-8,1.0
28,38,Undirected,rank-8,260,rank-8,1.0
28,327,Undirected,rank-8,261,rank-8,2.0
28,328,Undirected,rank-8,262,rank-8,2.0
28,621,Undirected,rank-8,263,rank-8,2.0
28,622,Undirected,rank-8,264,rank-8,1.0
28,623,Undirected,rank-8,265,rank-8,2.0
28,624,Undirected,rank-8,266,rank-8,2.0
34,35,Undirected,rank-8,267,rank-8,1.0
34,68,Undirected,rank-8,268,rank-8,1.0
34,69,Undirected,rank-8,269,rank-8,1.0
35,68,Undirected,rank-8,270,rank-8,1.0
35,69,Undirected,rank-8,271,rank-8,1.0
36,177,Undirected,rank-8,272,rank-8,1.0
36,178,Undirected,rank-8,273,rank-8,1.0
36,179,Undirected,rank-8,274,rank-8,1.0
36,181,Undirected,rank-8,275,rank-8,1.0
36,382,Undirected,rank-8,276,rank-8,1.0
36,383,Undirected,rank-8,277,rank-8,1.0
36,384,Undirected,rank-8,278,rank-8,1.0
36,385,Undirected,rank-8,279,rank-8,1.0
36,386,Undirected,rank-8,280,rank-8,1.0
36,873,Undirected,rank-8,281,rank-8,1.0
36,874,Undirected,rank-8,282,rank-8,1.0
36,925,Undirected,rank-8,283,rank-8,1.0
38,327,Undirected,rank-8,284,rank-8,1.0
38,328,Undirected,rank-8,285,rank-8,1.0
38,621,Undirected,rank-8,286,rank-8,1.0
38,622,Undirected,rank-8,287,rank-8,1.0
38,623,Undirected,rank-8,288,rank-8,1.0
38,624,Undirected,rank-8,289,rank-8,1.0
39,40,Undirected,rank-8,290,rank-8,4.0
39,41,Undirected,rank-8,291,rank-8,2.0
39,42,Undirected,rank-8,292,rank-8,4.0
39,43,Undirected,rank-8,293,rank-8,4.0
39,58,Undirected,rank-8,294,rank-8,2.0
39,77,Undirected,rank-8,295,rank-8,1.0
